circuit,tournament,country,year,date,gender,match_num,w_player1,w_p1_birthdate,w_p1_age,w_p1_hgt,w_p1_country,w_player2,w_p2_birthdate,w_p2_age,w_p2_hgt,w_p2_country,w_rank,l_player1,l_p1_birthdate,l_p1_age,l_p1_hgt,l_p1_country,l_player2,l_p2_birthdate,l_p2_age,l_p2_hgt,l_p2_country,l_rank,score,duration,bracket,round,w_p1_tot_attacks,w_p1_tot_kills,w_p1_tot_errors,w_p1_tot_hitpct,w_p1_tot_aces,w_p1_tot_serve_errors,w_p1_tot_blocks,w_p1_tot_digs,w_p2_tot_attacks,w_p2_tot_kills,w_p2_tot_errors,w_p2_tot_hitpct,w_p2_tot_aces,w_p2_tot_serve_errors,w_p2_tot_blocks,w_p2_tot_digs,l_p1_tot_attacks,l_p1_tot_kills,l_p1_tot_errors,l_p1_tot_hitpct,l_p1_tot_aces,l_p1_tot_serve_errors,l_p1_tot_blocks,l_p1_tot_digs,l_p2_tot_attacks,l_p2_tot_kills,l_p2_tot_errors,l_p2_tot_hitpct,l_p2_tot_aces,l_p2_tot_serve_errors,l_p2_tot_blocks,l_p2_tot_digs
FIVB,Stare Jablonki,Poland,2009,2009-08-03,W,15,"Andrezza ""Rtvelo"" Martins",1977-08-02,32.0027379,67,Georgia,"Cristine ""Saka"" Santanna",1979-05-27,30.1875428,71,Georgia,15,Claudia Lehmann,1985-10-05,23.8275154,71,Germany,Julia Sude,1987-09-02,21.9192334,73,Germany,18,"22-20, 21-16",00:39:00,Winner's Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Stare Jablonki,Poland,2009,2009-08-03,W,16,Maria Antonelli,1984-02-25,25.4373717,69,Brazil,Talita Antunes,1982-08-29,26.9295003,71,Brazil,2,Jill Jasbar,1981-01-29,28.5092402,71,Austria,Sabine Swoboda,1975-03-23,34.3655031,69,Austria,"31, Q22","21-14, 21-15",00:28:00,Winner's Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Stare Jablonki,Poland,2009,2009-08-03,W,17,Juliana Felisberta,1983-07-22,26.0342231,70,Brazil,Larissa Franca,1982-04-14,27.3045859,69,Brazil,1,Annie Martin,1981-09-07,27.9041752,67,Canada,Marie-Andree Lessard,1977-12-06,31.6577687,66,Canada,16,"21-17, 21-16",00:38:00,Winner's Bracket,Round 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Stare Jablonki,Poland,2009,2009-08-03,W,18,Ilka Semmler,1985-09-08,23.9014374,72,Germany,Katrin Holtwick,1984-04-10,25.3141684,69,Germany,8,Joanna Wiatr,1987-06-05,22.1629021,70,Poland,Katarzyna Urban,1987-10-30,21.7604381,71,Poland,9,"21-18, 21-15",00:36:00,Winner's Bracket,Round 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Stare Jablonki,Poland,2009,2009-08-03,W,19,Doris Schwaiger,1985-02-28,24.4271047,68,Austria,Stefanie Schwaiger,1986-08-07,22.9897331,72,Austria,5,Anja Gunther,1983-09-05,25.9110198,74,Germany,Geeske Banck,1981-01-22,28.5284052,71,Germany,12,"21-14, 21-16",00:36:00,Winner's Bracket,Round 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Stare Jablonki,Poland,2009,2009-08-03,W,20,Barbara Hansel,1983-09-18,25.8754278,73,Austria,Sara Montagnolli,1978-12-02,30.6694045,67,Austria,4,Janne Kongshavn,1983-12-30,25.5934292,71,Norway,Kathrine Maaseide,1976-12-18,32.62423,72,Norway,20,"21-13, 21-15",00:36:00,Winner's Bracket,Round 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Stare Jablonki,Poland,2009,2009-08-03,W,21,Ana Paula Henkel,1972-02-13,37.4702259,72,Brazil,Shelda Bede,1973-01-01,36.5859001,65,Brazil,3,Nadine Zumkehr,1985-02-05,24.4900753,68,Switzerland,Simone Kuhn,1980-09-02,28.91718,72,Switzerland,14,"21-18, 21-18",00:39:00,Winner's Bracket,Round 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Stare Jablonki,Poland,2009,2009-08-03,W,22,Angela Lavalle,1981-04-24,28.2765229,69,Brazil,Vivian Cunha,1980-06-14,29.1362081,70,Azerbaijan,"11, Q9",Maria Tsiartsiani,1980-10-21,28.7830253,71,Greece,Vasiliki Arvaniti,1985-03-17,24.3805613,72,Greece,6,"21-19, 21-19",00:47:00,Winner's Bracket,Round 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Stare Jablonki,Poland,2009,2009-08-03,W,23,Becchara Palmer,1988-06-18,21.1252567,72,Australia,Louise Bawden,1981-08-07,27.9890486,72,Australia,"26, Q3",Elsa Baquerizo,1987-06-25,22.1081451,71,Spain,Liliana Fernandez,1987-01-04,22.5790554,70,Spain,23,"21-12, 21-12",00:27:00,Winner's Bracket,Round 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Stare Jablonki,Poland,2009,2009-08-03,W,24,Maria Antonelli,1984-02-25,25.4373717,69,Brazil,Talita Antunes,1982-08-29,26.9295003,71,Brazil,2,"Andrezza ""Rtvelo"" Martins",1977-08-02,32.0027379,67,Georgia,"Cristine ""Saka"" Santanna",1979-05-27,30.1875428,71,Georgia,15,"21-19, 21-17",00:34:00,Winner's Bracket,Round 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
